Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
The Humanoids,Jack Williamson,Fiction,"A classic science fiction novel features humanoids spreading throughout the galaxy, threatening to stifle all human endeavor, and the hidden group of rebels who try to stem the humanoid tide, if it is not already too late",1996,3.75,299,201 - 400
The Hunchback of Notre-Dame,Victor Hugo,Classics,"In the famed novel set against the backdrop of medieval Paris, Quasimodo, the hunchbacked bellringer of Notre-Dame Cathedral, struggles to save the beautiful gypsy dancer Esmeralda from being unjustly executed. Reissue.",2001,3.99,510,401 - 600
The Hungry Tide,Amitav Ghosh,Fiction,"Presents a novel of life in modern India, chronicling the interwoven journey of an American marine biologist and a Delhi businessman who travel to the remote Sundarban islands.",2006,3.94,333,201 - 400
The Hunted,L. A. Banks,Fiction,"Having successfully averted a vampire civil war, vampire huntress Damali Richards heads for Brazil to investigate a series of horrific killings perpetrated by a vicious female were-demon and her crew in retaliation for the deaths of her people. Reprint.",2005,4.14,565,401 - 600
The Ice Storm,Rick Moody,Fiction,"The year is 1973. As a freak winter storm bears down on an exclusive, affluent suburb in Connecticut, cark skid out of control, men and women swap partners, and their children experiment with sex, drugs, and even suicide. Here two families, the Hoods and the Williamses, com face-to-face with the seething emotions behind the well-clipped lawns of their lives-in a novel widely hailed as a funny, acerbic, and moving hymn to a dazed and confused era of American life.",2002,3.67,288,201 - 400
The Idiot,Fyodor Dostoyevsky,Classics,"Splendid novel of mid-19th-century Russian manners, morals, and philosophy focuses on a nobleman whose gentle, child-like nature has earned him the nickname of ""the idiot.""",2003,4.18,540,401 - 600
The Iliad,Homer,Poetry,"The Iliad is one of the finest of all the great works that have been handed down to us from Classical Antiquity. Paris, a Trojan prince, having won Helen as his prize for judging a beauty contest between the goddesses Hera, Athena, and Aphrodite, abducted her from her Greek husband Menelaus and transported her to Troy. The Greeks, enraged by this audacity and devastated by the loss of the most beautiful woman in the world, set sail to Troy and began the long siege of the city. The Iliad narrates the events ten years into the war, describing the anger of Achilles, which results in the death of Patroclus and Achilles's mourning of him and avenging of his murder. It has had a far-reaching impact on Western literature and culture, inspiring writers, artists and classical composers across the ages. Even though it was written more than two thousand years ago, The Iliad remains both powerful and enthralling.",2011,3.85,542,401 - 600
The Illustrated Alchemist,Paulo Coelho,Fiction,"This fable aims teaches the reader to open their mind, listen to their heart and most importantly, follow their dreams.",1998,3.85,198,<201
The Infinite Plan,Isabel Allende,Literary Fiction,"Selling more than 65,000 copies and topping bestseller lists around the world -- including Spain, Germany, Italy, and Latin America -- this novel tells the engrossing story of one man's quest for love and for his soul.",1994,3.71,384,201 - 400
The Inheritors,William Golding,Literary Fiction,"The impact on a small surviving band of Neanderthal food gatherers of the arrival of Homo sapiens, a clever and ruthless killer.",1962,3.53,240,201 - 400
The Inimitable Jeeves,P. G. Wodehouse,Fiction,"Michael Hordern stars as Jeeves with Richard Briers as Bertie in a BBC Radio full-cast dramatization. Just when Bertie thinks that all's right with the world, there's young Bingo Little, who's in love for the umpteenth time and needs Bertie to put in a good word for him with his uncle; Aunt Agatha, who forces Bertie to get engaged to the formidable Honoria Glossop; and friction in the Wooster home over a red cummerbund, purple socks and some snazzy old Etonian spats. Only the inimitable Jeeves can save the day.",1999,4.25,240,201 - 400
The Innocent,Harlan Coben,Fiction,"Years after being released from jail, Matt Hunter's hopes of moving on with his pregnant wife are shattered when he becomes the focus of a serial murder investigation.",2006,3.96,503,401 - 600
The Intelligence of Evil or the Lucidity Pact,Jean Baudrillard,Philosophy,"There are few philosophers today cool enough to be referenced in the Matrix, interesting enough to be mentioned on Six Feet Under, and popular enough to get over 606,000 hits on Google. Jean Baudrillard has succeeded in all of this and more. Now, in his latest book, Baudrillard presents his most popular themes--symbolic exchange, hyper-reality, technology and war--and applies them to the current global conflict between ""the West and the Rest"", including Islam. Ultimately, it is not simply about the war against terror but about the bigger picture of capitalism versus everything else. This book serves as the summation of Baudrillard's work over the last twenty years and is the essential analysis of the fundamental conflict of our time.",2005,3.86,215,201 - 400
The Interpreter,Suki Kim,Fiction,"Working as a interpreter for the New York City court system, Korean-American Suzy Park makes a startling discovery that casts doubt on the facts surrounding her greengrocer parents' murders five years earlier. A first novel. Reader's Guide available. Reprint.",2003,3.55,304,201 - 400
The Invisible Man,H. G. Wells,Classics,The English village of Bramblehurst is intimidated by a mysterious stranger whose face is completely wrapped in bandages,1992,3.63,178,<201
The Invisible Writing,Arthur Koestler,Fiction,"Taken together, Arthur Koestler's volumes of autobiography constitute an unrivalled study of twentieth-century man and his dilemma. ARROW IN THE BLUE ended with his joining the Communist Party and THE INVISIBLE WRITING covers some of the most important experiences in his life. We see him in Germany, Russia, England, France and Spain, working sometimes openly and sometimes underground for the cause in which he believed. This was the time of the 'seven years' night' over Europe - of Hitler's spectacular successes against the Western Democracies. They were also the years of the great Russian purges, which led to Koestler#s eventual break with Communism in 1938, after Hitler and Stalin between them had claimed the lives of most of his friends and relatives. This book tells of Koestler's travels through Russia and remote parts of Soviet Central Asia and of his life as an exile. It puts in perspective his experiences in Franco's prisons under sentence of death and in concentration camps in Occupied France (told at greater length in DIALOGUE WITH DEATH AND SCUM OF THE EARTH), and ends with his escape from Occupied France in 1940 to England, where he found stability and a new home. An epilogue brings the story up to 1953, when it was written. Koestler calls the book 'a typical case history of a member of the educated middle classes of Central Europe in our time'. It has two main themes: the historical background against which the author developed, and an unsparing analysis of his intellectual and spiritual development.",2005,4.35,528,401 - 600
The Invisibles,Grant Morrison,Comics & Graphic Novels,"Imagine if every paranoid fantasy, every conspiracy theory, every alleged cover-up and government deception, every tabloid story you've ever heard ...were true. Discover a world where paranoia is a survival skill and the only hope for mankind is a group of unconventional occultist freedom fighters-The Invisibles.",2000,4.24,224,201 - 400
"The Invisibles, the Invisible Kingdom",Grant Morrison,Comics & Graphic Novels,"Imagine if every paranoid fantasy, every conspiracy theory, every alleged cover-up and government deception, every tabloid story you've ever heard ...were true. Discover a world where paranoia is a survival skill and the only hope for mankind is a group of unconventional occultist freedom fighters-The Invisibles.",2002,4.19,288,201 - 400
